"t / s";"CH1 / V";"CH2 / V";"f / Hz";"SP1 / dB";"SP2 / dB"
0;5,13131;8,08081;0;-34,6167;-60
1e-06;5,13131;8,06061;50;-38,3996;-60
2e-06;5,13131;8,08081;100;-50,2817;-60
3e-06;5,13131;8,08081;150;-50,0121;-60
4e-06;5,13131;8,06061;200;-49,5001;-60
5e-06;5,13131;8,08081;250;-49,1821;-60
6e-06;5,12727;8,08081;300;-49,9543;-60
7e-06;5,13131;8,08081;350;-60;-60
8e-06;5,13131;8,08081;400;-31,7403;-60
9e-06;5,13131;8,06061;450;-4,46646;-57,375
1e-05;5,13131;8,08081;500;-0,0560605;-53,9218
1,1e-05;5,13131;8,08081;550;-10,9275;-60
1,2e-05;5,13131;8,08081;600;-49,0169;-60
1,3e-05;5,13131;8,08081;650;-43,5743;-60
1,4e-05;5,12727;8,08081;700;-41,7496;-60
1,5e-05;5,13131;8,08081;750;-41,5544;-60
1,6e-05;5,12727;8,08081;800;-42,581;-60
1,7e-05;5,13131;8,08081;850;-57,4566;-60
1,8e-05;5,13131;8,08081;900;-23,5997;-60
1,9e-05;5,13131;8,06061;950;-3,47863;-60
2e-05;5,13131;8,08081;1.000;-1,9903;-60
2,1e-05;5,13131;8,08081;1.050;-16,7582;-60
2,2e-05;5,13131;8,08081;1.100;-52,4798;-60
2,3e-05;5,12727;8,08081;1.150;-42,837;-60
2,4e-05;5,13131;8,08081;1.200;-41,3023;-60
2,5e-05;5,13131;8,08081;1.250;-41,2984;-60
2,6e-05;5,13131;8,08081;1.300;-42,6243;-60
2,7e-05;5,13131;8,08081;1.350;-60;-60
2,8e-05;5,13131;8,06061;1.400;-19,133;-60
2,9e-05;5,13131;8,08081;1.450;-4,00614;-60
3e-05;5,13131;8,08081;1.500;-5,38605;-60
3,1e-05;5,13131;8,08081;1.550;-24,9745;-60
3,2e-05;5,13131;8,08081;1.600;-60;-60
3,3e-05;5,13131;8,08081;1.650;-46,8013;-60
3,4e-05;5,13131;8,08081;1.700;-45,5849;-60
3,5e-05;5,13131;8,08081;1.750;-45,7837;-60
3,6e-05;5,13131;8,08081;1.800;-47,3531;-60
3,7e-05;5,12727;8,08081;1.850;-60;-60
3,8e-05;5,13131;8,08081;1.900;-17,4482;-60
3,9e-05;5,13131;8,08081;1.950;-6,32024;-60
4e-05;5,13131;8,08081;2.000;-10,6093;-60
4,1e-05;5,13131;8,08081;2.050;-37,0286;-60
4,2e-05;5,13131;8,08081;2.100;-60;-60
4,3e-05;5,13131;8,08081;2.150;-59,038;-60
4,4e-05;5,13131;8,08081;2.200;-58,2381;-60
4,5e-05;5,13131;8,06061;2.250;-58,5949;-60
4,6e-05;5,13131;8,06061;2.300;-59,3567;-60
4,7e-05;5,13131;8,08081;2.350;-60;-60
4,8e-05;5,13131;8,08081;2.400;-18,9627;-60
4,9e-05;5,13131;8,08081;2.450;-11,2931;-60
5e-05;5,13131;8,08081;2.500;-18,6209;-60
5,1e-05;5,13131;8,08081;2.550;-60;-60
5,2e-05;5,13131;8,08081;2.600;-60;-60
5,3e-05;5,13131;8,08081;2.650;-60;-60
5,4e-05;5,12727;8,08081;2.700;-60;-60
5,5e-05;5,13131;8,0202;2.750;-60;-60
5,6e-05;5,13131;8,08081;2.800;-60;-60
5,7e-05;5,13131;8,08081;2.850;-59,0778;-60
5,8e-05;5,13131;8,06061;2.900;-28,1861;-60
5,9e-05;5,13131;8,08081;2.950;-23,765;-60
6e-05;5,13131;8,08081;3.000;-34,1954;-60
6,1e-05;5,13131;8,08081;3.050;-60;-60
6,2e-05;5,12727;8,06061;3.100;-60;-60
6,3e-05;5,13131;8,08081;3.150;-60;-60
6,4e-05;5,13131;8,08081;3.200;-60;-60
6,5e-05;5,13131;8,08081;3.250;-60;-60
6,6e-05;5,13131;8,08081;3.300;-60;-60
6,7e-05;5,13131;8,08081;3.350;-42,8823;-60
6,8e-05;5,13131;8,08081;3.400;-23,3888;-60
6,9e-05;5,13131;8,08081;3.450;-21,6096;-60
7e-05;5,12727;8,08081;3.500;-36,5409;-60
7,1e-05;5,12727;8,08081;3.550;-60;-60
7,2e-05;5,12727;8,08081;3.600;-57,0381;-60
7,3e-05;5,13131;8,08081;3.650;-55,9014;-60
7,4e-05;5,13131;8,08081;3.700;-55,6244;-60
7,5e-05;5,13131;8,08081;3.750;-57,6247;-60
7,6e-05;5,13131;8,08081;3.800;-60;-60
7,7e-05;5,13131;8,08081;3.850;-30,644;-60
7,8e-05;5,12323;8,08081;3.900;-15,4898;-60
7,9e-05;5,12727;8,08081;3.950;-16,6617;-60
8e-05;5,13131;8,06061;4.000;-36,2666;-60
8,1e-05;5,13131;8,08081;4.050;-60;-60
8,2e-05;5,13131;8,08081;4.100;-55,035;-60
8,3e-05;5,13131;8,08081;4.150;-53,9788;-60
