"t / s";"CH1 / V";"CH2 / V";"f / Hz";"SP1 / dB";"SP2 / dB"
0;0,323232;2,62626;0;-31,1899;-60
1e-06;0,323232;2,62626;50;-34,7919;-60
2e-06;0,323232;2,62626;100;-46,0142;-60
3e-06;0,319192;2,62626;150;-45,9738;-60
4e-06;0,319192;2,62626;200;-45,2473;-60
5e-06;0,327273;2,62626;250;-44,8201;-60
6e-06;0,327273;2,62626;300;-44,9121;-60
7e-06;0,327273;2,64646;350;-46,7632;-60
8e-06;0,319192;2,62626;400;-28,517;-60
9e-06;0,323232;2,62626;450;-1,3844;-60
1e-05;0,327273;2,62626;500;3,02441;-60
1,1e-05;0,323232;2,62626;550;-7,83162;-60
1,2e-05;0,323232;2,62626;600;-41,2359;-60
1,3e-05;0,327273;2,62626;650;-39,839;-60
1,4e-05;0,327273;2,62626;700;-38,449;-60
1,5e-05;0,323232;2,62626;750;-38,3431;-60
1,6e-05;0,323232;2,62626;800;-38,9582;-60
1,7e-05;0,323232;2,64646;850;-43,0499;-60
1,8e-05;0,323232;2,62626;900;-22,0984;-60
1,9e-05;0,323232;2,62626;950;-1,91916;-60
2e-05;0,323232;2,62626;1.000;-0,454027;-60
2,1e-05;0,323232;2,64646;1.050;-15,1197;-60
2,2e-05;0,323232;2,62626;1.100;-42,0719;-60
2,3e-05;0,323232;2,62626;1.150;-41,2431;-60
2,4e-05;0,323232;2,60606;1.200;-40,3202;-60
2,5e-05;0,323232;2,62626;1.250;-40,5127;-60
2,6e-05;0,323232;2,62626;1.300;-41,4643;-60
2,7e-05;0,323232;2,62626;1.350;-47,2426;-60
2,8e-05;0,323232;2,62626;1.400;-21,2028;-60
2,9e-05;0,323232;2,62626;1.450;-5,91093;-60
3e-05;0,323232;2,64646;1.500;-7,35243;-60
3,1e-05;0,323232;2,62626;1.550;-26,5477;-60
3,2e-05;0,327273;2,62626;1.600;-48,9385;-60
3,3e-05;0,323232;2,62626;1.650;-50,618;-60
3,4e-05;0,323232;2,62626;1.700;-50,5412;-60
3,5e-05;0,323232;2,62626;1.750;-51,2829;-60
3,6e-05;0,323232;2,62626;1.800;-52,2578;-60
3,7e-05;0,323232;2,62626;1.850;-58,0045;-60
3,8e-05;0,327273;2,62626;1.900;-31,9405;-60
3,9e-05;0,327273;2,62626;1.950;-20,3131;-60
4e-05;0,323232;2,62626;2.000;-24,8554;-60
4,1e-05;0,327273;2,62626;2.050;-48,653;-60
4,2e-05;0,323232;2,64646;2.100;-60;-60
