"t / s";"CH1 / V";"CH2 / V";"f / Hz";"SP1 / dB";"SP2 / dB"
0,000108;0,331313;2,48081;5.400;-14,9662;-60
0,000109;0,331313;2,48485;5.450;-24,9265;-60
0,00011;0,347475;2,48889;5.500;-49,6979;-60
0,000111;0,347475;2,48485;5.550;-56,483;-60
0,000112;0,335354;2,48485;5.600;-57,1348;-60
0,000113;0,335354;2,48485;5.650;-56,9976;-60
0,000114;0,335354;2,48889;5.700;-57,1611;-60
0,000115;0,339394;2,47677;5.750;-55,3142;-60
0,000116;0,327273;2,48889;5.800;-45,6396;-60
0,000117;0,327273;2,48081;5.850;-26,659;-60
0,000118;0,335354;2,48485;5.900;-24,6488;-60
0,000119;0,339394;2,48081;5.950;-39,4326;-60
0,00012;0,343434;2,49293;6.000;-54,3675;-60
0,000121;0,339394;2,46869;6.050;-53,2809;-60
0,000122;0,335354;2,48081;6.100;-52,7115;-60
0,000123;0,327273;2,48081;6.150;-52,6487;-60
0,000124;0,335354;2,48081;6.200;-53,5208;-60
0,000125;0,339394;2,47677;6.250;-56,3779;-60
0,000126;0,339394;2,46869;6.300;-33,2401;-60
0,000127;0,339394;2,48485;6.350;-17,5283;-60
0,000128;0,343434;2,47677;6.400;-18,665;-60
0,000129;0,331313;2,48889;6.450;-37,2415;-60
0,00013;0,331313;2,48485;6.500;-56,5977;-60
0,000131;0,327273;2,48889;6.550;-58,6669;-60
0,000132;0,331313;2,48889;6.600;-58,2194;-60
0,000133;0,347475;2,48485;6.650;-58,8647;-60
0,000134;0,343434;2,48889;6.700;-58,7593;-60
0,000135;0,327273;2,48081;6.750;-54,9074;-60
0,000136;0,343434;2,48889;6.800;-34,9243;-60
0,000137;0,331313;2,48485;6.850;-24,3958;-60
0,000138;0,327273;2,48889;6.900;-27,8307;-60
0,000139;0,327273;2,48889;6.950;-60;-60
0,00014;0,339394;2,49293;7.000;-56,6194;-60
0,000141;0,327273;2,48081;7.050;-55,7143;-60
0,000142;0,335354;2,48081;7.100;-55,384;-60
0,000143;0,339394;2,48485;7.150;-55,7651;-60
0,000144;0,343434;2,48889;7.200;-55,6052;-60
0,000145;0,343434;2,48889;7.250;-54,7973;-60
0,000146;0,331313;2,48889;7.300;-25,6214;-60
0,000147;0,335354;2,48081;7.350;-17,8334;-60
