"t / s";"CH1 / V";"CH2 / V";"f / Hz";"SP1 / dB";"SP2 / dB"
8,7e-05;0,323232;11,7172;4.350;-24,2546;-16,759
8,8e-05;0,323232;11,8384;4.400;-13,0299;-5,55617
8,9e-05;0,323232;11,7172;4.450;-17,1169;-9,65707
9e-05;0,323232;11,7576;4.500;-43,3805;-36,0873
9,1e-05;0,323232;11,798;4.550;-60;-60
9,2e-05;0,319192;11,798;4.600;-60;-56,3658
9,3e-05;0,323232;11,798;4.650;-60;-54,2609
9,4e-05;0,315152;11,7576;4.700;-60;-54,1087
9,5e-05;0,319192;11,798;4.750;-60;-56,2099
9,6e-05;0,319192;11,7172;4.800;-60;-60
9,7e-05;0,323232;11,7576;4.850;-31,5515;-24,1082
9,8e-05;0,323232;11,7576;4.900;-23,6441;-16,2096
9,9e-05;0,323232;11,798;4.950;-30,817;-23,3725
0,0001;0,331313;11,7576;5.000;-60;-60
0,000101;0,323232;11,8384;5.050;-60;-60
0,000102;0,323232;11,8788;5.100;-60;-60
0,000103;0,323232;11,7172;5.150;-60;-60
0,000104;0,323232;11,7576;5.200;-60;-58,0027
0,000105;0,319192;11,798;5.250;-60;-56,9
0,000106;0,323232;11,8384;5.300;-47,3216;-39,7626
0,000107;0,323232;11,8788;5.350;-19,5678;-12,092
0,000108;0,323232;11,8788;5.400;-14,8061;-7,34146
0,000109;0,327273;11,8384;5.450;-25,3508;-17,8982
0,00011;0,319192;11,7172;5.500;-60;-60
0,000111;0,323232;11,798;5.550;-57,4028;-51,0244
0,000112;0,319192;11,8384;5.600;-56,2926;-48,53
0,000113;0,323232;11,9192;5.650;-56,0338;-47,2371
0,000114;0,323232;11,7576;5.700;-56,3823;-52,0781
0,000115;0,315152;11,798;5.750;-59,1505;-49,3796
0,000116;0,319192;11,8384;5.800;-49,6123;-41,9744
0,000117;0,323232;11,7576;5.850;-26,3274;-18,9057
0,000118;0,323232;11,798;5.900;-24,8755;-17,4351
0,000119;0,319192;11,798;5.950;-38,1592;-30,7778
0,00012;0,323232;11,7576;6.000;-57,497;-48,5939
0,000121;0,323232;11,8384;6.050;-60;-56,5714
0,000122;0,315152;11,798;6.100;-60;-54,844
0,000123;0,323232;11,8788;6.150;-60;-52,7501
0,000124;0,319192;11,8384;6.200;-60;-59,3308
0,000125;0,311111;11,7172;6.250;-60;-55,8346
0,000126;0,319192;11,7172;6.300;-32,8901;-25,4111
0,000127;0,323232;11,798;6.350;-17,5707;-10,1045
0,000128;0,315152;11,7576;6.400;-18,5687;-11,1028
0,000129;0,319192;11,8384;6.450;-37,8912;-30,5501
0,00013;0,319192;11,8384;6.500;-60;-59,7761
0,000131;0,323232;11,7576;6.550;-57,1434;-50,7352
0,000132;0,323232;11,798;6.600;-56,7868;-48,109
0,000133;0,319192;11,7576;6.650;-56,8644;-49,5748
0,000134;0,319192;11,7576;6.700;-57,8128;-50,0953
0,000135;0,319192;11,7172;6.750;-60;-57,4605
0,000136;0,323232;11,798;6.800;-36,0129;-28,504
0,000137;0,323232;11,8384;6.850;-24,0692;-16,6295
0,000138;0,323232;11,798;6.900;-28,2438;-20,8144
0,000139;0,323232;11,7576;6.950;-51,2918;-43,8114
0,00014;0,323232;11,798;7.000;-60;-55,3242
0,000141;0,323232;11,7576;7.050;-60;-60
0,000142;0,319192;11,798;7.100;-60;-58,0163
0,000143;0,323232;11,798;7.150;-60;-60
0,000144;0,327273;11,798;7.200;-60;-60
0,000145;0,323232;11,7172;7.250;-60;-60
0,000146;0,323232;11,798;7.300;-25,7549;-18,2621
0,000147;0,323232;11,7172;7.350;-17,7523;-10,2767
0,000148;0,323232;11,7172;7.400;-24,735;-17,276
0,000149;0,323232;11,798;7.450;-60;-57,4376
0,00015;0,323232;11,7576;7.500;-60;-56,9642
0,000151;0,323232;11,798;7.550;-60;-60
0,000152;0,323232;11,7172;7.600;-60;-57,4447
0,000153;0,319192;11,798;7.650;-60;-60
0,000154;0,327273;11,8384;7.700;-60;-60
0,000155;0,323232;11,7576;7.750;-60;-52,6308
0,000156;0,323232;11,7172;7.800;-28,8728;-21,4124
0,000157;0,323232;11,7172;7.850;-24,1295;-16,6754
0,000158;0,323232;11,798;7.900;-34,1618;-26,6533
0,000159;0,315152;11,7576;7.950;-60;-58,8312
0,00016;0,323232;11,798;8.000;-60;-60
0,000161;0,323232;11,7576;8.050;-60;-60
0,000162;0,323232;11,798;8.100;-60;-60
0,000163;0,319192;11,798;8.150;-60;-60
0,000164;0,323232;11,7576;8.200;-60;-58,8571
0,000165;0,323232;11,7576;8.250;-42,5201;-34,9247
0,000166;0,323232;11,7576;8.300;-22,0591;-14,5682
0,000167;0,319192;11,7576;8.350;-20,0202;-12,5389
0,000168;0,323232;11,7172;8.400;-34,3361;-26,8457
0,000169;0,323232;11,8384;8.450;-60;-60
0,00017;0,323232;11,8384;8.500;-58,0625;-51,584
0,000171;0,323232;11,798;8.550;-57,0048;-49,1843
0,000172;0,319192;11,798;8.600;-57,3734;-49,3263
0,000173;0,315152;11,7576;8.650;-57,763;-50,7537
0,000174;0,319192;11,798;8.700;-60;-55,1702
0,000175;0,323232;11,798;8.750;-41,7968;-34,3116
0,000176;0,323232;11,7576;8.800;-25,2101;-17,7711
0,000177;0,323232;11,7576;8.850;-26,3485;-18,9001
0,000178;0,319192;11,7172;8.900;-43,8769;-36,4658
0,000179;0,323232;11,7576;8.950;-60;-53,6065
0,00018;0,323232;11,798;9.000;-60;-60
0,000181;0,323232;11,7172;9.050;-60;-60
0,000182;0,323232;11,7172;9.100;-60;-60
0,000183;0,323232;11,798;9.150;-60;-60
0,000184;0,319192;11,8384;9.200;-60;-55,6711
0,000185;0,323232;11,7172;9.250;-32,3637;-24,8371
0,000186;0,323232;11,798;9.300;-20,8426;-13,3514
0,000187;0,323232;11,7576;9.350;-24,5703;-17,0715
0,000188;0,323232;11,798;9.400;-50,3637;-42,7473
0,000189;0,323232;11,798;9.450;-60;-60
0,00019;0,323232;11,8384;9.500;-60;-57,5701
0,000191;0,327273;11,7576;9.550;-60;-57,1634
0,000192;0,323232;11,798;9.600;-60;-57,2172
0,000193;0,319192;11,7576;9.650;-60;-59,81
0,000194;0,323232;11,8384;9.700;-60;-60
0,000195;0,323232;11,7576;9.750;-32,3197;-24,8771
0,000196;0,323232;11,7576;9.800;-24,076;-16,6458
0,000197;0,323232;11,798;9.850;-30,9151;-23,5034
0,000198;0,323232;11,7576;9.900;-60;-60
0,000199;0,323232;11,7576;9.950;-60;-60
0,0002;0,323232;11,7172;10.000;-60;-60
0,000201;0,323232;11,8384;10.050;-60;-60
0,000202;0,319192;11,798;10.100;-60;-60
0,000203;0,319192;11,7172;10.150;-60;-60
0,000204;0,315152;11,798;10.200;-55,367;-47,9344
0,000205;0,323232;11,7576;10.250;-26,9196;-19,4358
0,000206;0,323232;11,7576;10.300;-21,8048;-14,3172
0,000207;0,319192;11,7172;10.350;-32,0099;-24,5222
0,000208;0,327273;11,798;10.400;-60;-60
0,000209;0,323232;11,7172;10.450;-60;-56,1408
0,00021;0,323232;11,7576;10.500;-60;-52,7376
0,000211;0,323232;11,7576;10.550;-60;-53,0338
0,000212;0,315152;11,8384;10.600;-60;-55,604
0,000213;0,327273;11,8384;10.650;-60;-57,3164
0,000214;0,315152;11,8384;10.700;-49,6765;-41,8075
0,000215;0,319192;11,7576;10.750;-27,1051;-19,6451
0,000216;0,323232;11,7172;10.800;-25,1598;-17,7227
0,000217;0,323232;11,7172;10.850;-38,5815;-31,2362
0,000218;0,319192;11,7576;10.900;-60;-53,2993
0,000219;0,323232;11,798;10.950;-60;-60
0,00022;0,323232;11,8384;11.000;-60;-60
0,000221;0,327273;11,798;11.050;-60;-60
0,000222;0,327273;11,8384;11.100;-60;-60
0,000223;0,323232;11,798;11.150;-60;-57,4948
0,000224;0,323232;11,798;11.200;-39,938;-32,3964
0,000225;0,323232;11,8384;11.250;-24,362;-16,8653
0,000226;0,323232;11,798;11.300;-24,9904;-17,4969
0,000227;0,315152;11,7576;11.350;-44,0615;-36,6853
0,000228;0,323232;11,7576;11.400;-60;-60
0,000229;0,323232;11,8384;11.450;-60;-53,5651
0,00023;0,323232;11,798;11.500;-60;-51,4061
0,000231;0,323232;11,8384;11.550;-60;-52,6917
0,000232;0,323232;11,8788;11.600;-60;-55,3011
0,000233;0,319192;11,8384;11.650;-60;-60
0,000234;0,323232;11,8384;11.700;-36,8521;-29,3273
0,000235;0,747475;11,8788;11.750;-24,7123;-17,2579
0,000236;4,98586;0,484848;11.800;-28,469;-21,0315
0,000237;5,13131;0,40404;11.850;-51,8127;-44,8491
0,000238;5,13131;0,40404;11.900;-60;-60
0,000239;5,13131;0,40404;11.950;-60;-60
0,00024;5,13131;0,40404;12.000;-60;-60
0,000241;5,13131;0,40404;12.050;-60;-60
0,000242;5,13131;0,40404;12.100;-60;-60
0,000243;5,13131;0,40404;12.150;-60;-60
0,000244;5,13131;0,40404;12.200;-32,4488;-24,9198
