"t / s";"CH1 / V";"CH2 / V";"f / Hz";"SP1 / dB";"SP2 / dB"
0,000109;5,13131;5,25253;5.450;-25,3053;-60
0,00011;5,13131;5,25253;5.500;-58,8487;-60
0,000111;5,12727;5,25253;5.550;-60;-60
0,000112;5,13131;5,23232;5.600;-60;-60
0,000113;5,13131;5,25253;5.650;-60;-60
0,000114;5,13131;5,25253;5.700;-60;-60
0,000115;5,12727;5,23232;5.750;-58,5715;-60
0,000116;5,13131;5,21212;5.800;-45,1863;-60
0,000117;5,12727;5,23232;5.850;-26,7939;-60
0,000118;5,13131;5,23232;5.900;-24,614;-60
0,000119;5,13131;5,21212;5.950;-40,0698;-60
0,00012;5,12323;5,25253;6.000;-59,6891;-60
0,000121;5,13131;5,25253;6.050;-55,286;-60
0,000122;5,12727;5,25253;6.100;-54,4212;-60
0,000123;5,13131;5,23232;6.150;-54,3646;-60
0,000124;5,12727;5,19192;6.200;-55,3452;-60
0,000125;5,13131;5,25253;6.250;-60;-60
0,000126;5,12727;5,25253;6.300;-33,2399;-60
0,000127;5,13131;5,25253;6.350;-17,5479;-60
0,000128;5,12727;5,23232;6.400;-18,6767;-60
0,000129;5,13131;5,25253;6.450;-37,3692;-60
0,00013;5,12727;5,25253;6.500;-60;-60
0,000131;5,13131;5,23232;6.550;-60;-60
0,000132;5,12727;5,23232;6.600;-60;-60
0,000133;5,12727;5,21212;6.650;-60;-60
0,000134;5,13131;5,23232;6.700;-60;-60
0,000135;5,13131;5,25253;6.750;-59,6377;-60
0,000136;5,13131;5,23232;6.800;-35,3095;-60
0,000137;5,13131;5,25253;6.850;-24,3201;-60
0,000138;5,12727;5,23232;6.900;-28,0485;-60
0,000139;5,13131;5,23232;6.950;-56,8427;-60
0,00014;5,13131;5,23232;7.000;-60;-60
0,000141;5,13131;5,23232;7.050;-60;-60
0,000142;5,13131;5,23232;7.100;-60;-60
0,000143;5,13131;5,23232;7.150;-60;-60
0,000144;5,12727;5,23232;7.200;-60;-60
0,000145;5,13131;5,25253;7.250;-60;-60
0,000146;5,13131;5,25253;7.300;-25,8117;-60
0,000147;5,13131;5,19192;7.350;-17,7931;-60
0,000148;5,12727;5,25253;7.400;-24,802;-60
0,000149;5,12727;5,23232;7.450;-60;-60
0,00015;5,13131;5,23232;7.500;-60;-60
0,000151;5,13131;5,25253;7.550;-60;-60
0,000152;5,13131;5,21212;7.600;-60;-60
0,000153;5,13131;5,23232;7.650;-60;-60
0,000154;5,13131;5,23232;7.700;-60;-60
0,000155;5,13131;5,23232;7.750;-55,3952;-60
0,000156;5,13131;5,25253;7.800;-29,1149;-60
0,000157;5,13131;5,21212;7.850;-24,0656;-60
0,000158;5,13131;5,23232;7.900;-34,666;-60
0,000159;5,13131;5,23232;7.950;-60;-60
0,00016;5,13131;5,25253;8.000;-60;-60
0,000161;5,13131;5,25253;8.050;-59,49;-60
0,000162;5,13131;5,25253;8.100;-59,2183;-60
0,000163;5,13131;5,23232;8.150;-59,4726;-60
0,000164;5,13131;5,25253;8.200;-60;-60
0,000165;5,12727;5,25253;8.250;-43,425;-60
0,000166;5,13131;5,25253;8.300;-22,0196;-60
0,000167;5,12727;5,23232;8.350;-20,1499;-60
0,000168;5,13131;5,25253;8.400;-34,0286;-60
0,000169;5,13131;5,25253;8.450;-60;-60
0,00017;5,13131;5,23232;8.500;-60;-60
0,000171;5,12727;5,25253;8.550;-60;-60
0,000172;5,13131;5,23232;8.600;-60;-60
0,000173;5,13131;5,25253;8.650;-60;-60
0,000174;5,13131;5,23232;8.700;-60;-60
0,000175;5,13131;5,25253;8.750;-40,4017;-60
0,000176;5,13131;5,25253;8.800;-25,4954;-60
0,000177;5,12727;5,23232;8.850;-26,1572;-60
0,000178;5,13131;5,25253;8.900;-46,2356;-60
0,000179;5,12727;5,25253;8.950;-60;-60
0,00018;5,13131;5,25253;9.000;-58,7849;-60
0,000181;5,13131;5,25253;9.050;-58,3965;-60
0,000182;5,13131;5,23232;9.100;-58,3792;-60
0,000183;5,13131;5,25253;9.150;-59,9542;-60
0,000184;5,13131;5,25253;9.200;-60;-60
0,000185;5,13131;5,21212;9.250;-32,6421;-60
0,000186;5,13131;5,25253;9.300;-20,8429;-60
0,000187;5,12727;5,19192;9.350;-24,725;-60
0,000188;5,13131;5,23232;9.400;-49,1615;-60
0,000189;5,13131;5,23232;9.450;-60;-60
0,00019;5,13131;5,25253;9.500;-60;-60
0,000191;5,13131;5,21212;9.550;-60;-60
0,000192;5,13131;5,25253;9.600;-60;-60
0,000193;5,12727;5,25253;9.650;-60;-60
0,000194;5,12727;5,25253;9.700;-60;-60
0,000195;5,13131;5,21212;9.750;-32,276;-60
0,000196;5,12727;5,25253;9.800;-24,1481;-60
0,000197;5,12727;5,21212;9.850;-30,9617;-60
0,000198;5,12727;5,25253;9.900;-60;-60
0,000199;5,13131;5,25253;9.950;-60;-60
0,0002;5,12727;5,23232;10.000;-60;-60
0,000201;5,13131;5,23232;10.050;-60;-60
0,000202;5,13131;5,25253;10.100;-60;-60
0,000203;5,13131;5,21212;10.150;-60;-60
0,000204;5,13131;5,25253;10.200;-56,8071;-60
0,000205;5,13131;5,25253;10.250;-26,9096;-60
0,000206;5,12727;5,25253;10.300;-21,9233;-60
0,000207;5,12727;5,21212;10.350;-31,9499;-60
0,000208;5,13131;5,23232;10.400;-60;-60
0,000209;5,13131;5,21212;10.450;-60;-60
0,00021;5,12323;5,25253;10.500;-60;-60
0,000211;5,13131;5,25253;10.550;-60;-60
0,000212;5,13131;5,25253;10.600;-60;-60
0,000213;5,12727;5,23232;10.650;-60;-60
0,000214;5,12727;5,25253;10.700;-47,3558;-60
0,000215;5,13131;5,25253;10.750;-27,3318;-60
0,000216;5,13131;5,17172;10.800;-25,046;-60
0,000217;5,13131;5,23232;10.850;-39,4546;-60
0,000218;5,13131;5,19192;10.900;-60;-60
0,000219;5,13131;5,21212;10.950;-59,8737;-60
