"t / s";"CH1 / V";"CH2 / V";"f / Hz";"SP1 / dB";"SP2 / dB"
8,6e-05;5,13131;0,40404;4.300;-57,9955;-48,3118
8,7e-05;5,13131;0,40404;4.350;-24,2367;-18,8589
8,8e-05;5,13131;0,40404;4.400;-13,0214;-7,50836
8,9e-05;5,13131;0,40404;4.450;-17,1144;-11,6131
9e-05;5,13131;0,40404;4.500;-43,5121;-37,2331
9,1e-05;5,13131;0,40404;4.550;-60;-40,3055
9,2e-05;5,13131;0,40404;4.600;-60;-42,1434
9,3e-05;5,13131;0,40404;4.650;-60;-49,2039
9,4e-05;5,13131;0,40404;4.700;-60;-50,0404
9,5e-05;5,13131;0,40404;4.750;-60;-46,222
9,6e-05;5,13131;0,40404;4.800;-60;-53,7774
9,7e-05;5,13131;0,40404;4.850;-31,5854;-25,9404
9,8e-05;5,13131;0,40404;4.900;-23,6912;-18,2278
9,9e-05;5,13131;0,40404;4.950;-30,8691;-25,6215
0,0001;5,13131;0,40404;5.000;-60;-48,3822
0,000101;5,13131;0,40404;5.050;-60;-34,6453
0,000102;5,13131;0,40404;5.100;-60;-37,5183
0,000103;5,13131;0,40404;5.150;-60;-51,2981
0,000104;5,13131;0,40404;5.200;-60;-40,7941
0,000105;5,13131;0,444444;5.250;-60;-41,1309
0,000106;5,13131;0,40404;5.300;-46,9784;-42,9074
0,000107;5,13131;0,40404;5.350;-19,558;-14,9482
0,000108;5,13131;0,40404;5.400;-14,7985;-10,1244
0,000109;5,13131;0,40404;5.450;-25,3549;-20,4462
0,00011;5,13131;0,40404;5.500;-60;-44,7751
0,000111;5,13131;0,40404;5.550;-57,7268;-40,5598
0,000112;5,13131;0,40404;5.600;-55,7032;-41,5675
0,000113;5,13131;0,40404;5.650;-56,0709;-51,2404
0,000114;5,13131;0,40404;5.700;-55,9784;-50,4615
0,000115;5,13131;0,444444;5.750;-58,9862;-53,9913
0,000116;5,13131;0,40404;5.800;-49,5008;-38,1457
0,000117;5,13131;0,40404;5.850;-26,363;-19,4709
0,000118;5,13131;0,40404;5.900;-24,9279;-17,9393
0,000119;5,13131;0,40404;5.950;-38,2117;-32,1176
0,00012;5,13131;0,40404;6.000;-56,9966;-46,048
0,000121;5,13131;0,40404;6.050;-60;-35,6119
0,000122;5,13131;0,40404;6.100;-60;-46,7404
0,000123;5,13131;0,40404;6.150;-60;-45,8431
0,000124;5,13131;0,40404;6.200;-60;-39,8781
0,000125;5,13131;0,40404;6.250;-60;-46,9314
0,000126;5,13131;0,40404;6.300;-32,8283;-29,6422
0,000127;5,13131;0,40404;6.350;-17,5601;-13,8813
0,000128;5,13131;0,40404;6.400;-18,564;-14,8292
0,000129;5,13131;0,40404;6.450;-37,9307;-33,176
0,00013;5,13131;0,40404;6.500;-60;-41,4
0,000131;5,13131;0,40404;6.550;-57,1008;-42,5541
0,000132;5,13131;0,40404;6.600;-56,4052;-45,6577
0,000133;5,13131;0,40404;6.650;-56,7346;-60
0,000134;5,13131;0,40404;6.700;-57,56;-45,9108
