,time,Status,bsPower,device,iBatt,percentBatt,uBatt
0,2023-05-26T12:54:03.704818Z,0,45,energy_cube,1.0,0,45.0
1,2023-05-26T12:55:50.771397Z,0,45,energy_cube,1.0,0,45.0
2,2023-05-26T12:56:50.263408Z,0,45,energy_cube,1.0,0,45.0
3,2023-05-26T12:56:51.941556Z,0,45,energy_cube,1.0,0,45.0
4,2023-05-26T12:56:53.226957Z,0,45,energy_cube,1.0,0,45.0
5,2023-05-26T12:56:54.606489Z,0,45,energy_cube,1.0,0,45.0
6,2023-05-26T12:59:37.709491Z,0,0,energy_cube,0.0,12,45.0
7,2023-05-26T13:00:11.697604Z,0,0,energy_cube,0.0,12,45.0
8,2023-05-26T13:00:13.030741Z,0,0,energy_cube,0.0,12,45.0
9,2023-05-26T13:00:14.098045Z,0,0,energy_cube,0.0,12,45.0
10,2023-05-26T13:00:15.360839Z,0,0,energy_cube,0.0,12,45.0
11,2023-05-26T13:00:17.529556Z,0,0,energy_cube,0.0,12,45.0
12,2023-05-26T13:00:18.783582Z,0,0,energy_cube,0.0,12,45.0
13,2023-05-26T13:00:19.608534Z,0,0,energy_cube,0.0,12,45.0
14,2023-05-26T13:07:05.961635Z,0,0,energy_cube,0.0,12,45.0
15,2023-05-26T13:07:09.379696Z,0,0,energy_cube,0.0,12,45.0
16,2023-05-26T13:47:49.950893Z,0,0,energy_cube,0.0,12,45.0
17,2023-05-26T14:17:04.581340Z,0,0,energy_cube,0.0,12,45.0
18,2023-05-26T14:17:25.185311Z,0,0,energy_cube,0.0,12,45.0
19,2023-05-26T14:17:26.716727Z,0,0,energy_cube,0.0,12,45.0
20,2023-05-26T14:17:27.809087Z,0,0,energy_cube,0.0,12,45.0
21,2023-05-26T14:17:28.774322Z,0,0,energy_cube,0.0,12,45.0
22,2023-05-26T14:23:56.397917Z,0,0,energy_cube,0.0,12,45.0
23,2023-05-26T14:24:04.531431Z,0,0,energy_cube,0.0,12,45.0
24,2023-05-26T14:25:58.983045Z,0,0,energy_cube,0.0,12,45.0
25,2023-05-26T14:25:59.897451Z,0,0,energy_cube,0.0,12,45.0
26,2023-05-26T14:26:01.944303Z,0,0,energy_cube,0.0,12,45.0
27,2023-05-26T14:26:03.108989Z,0,0,energy_cube,0.0,12,45.0
28,2023-05-26T14:26:03.810526Z,0,0,energy_cube,0.0,12,45.0
29,2023-05-26T14:34:38.061021Z,0,45,energy_cube,1.0,12,45.0
30,2023-05-26T14:34:43.126218Z,0,45,energy_cube,1.0,12,45.0
31,2023-05-26T14:34:48.200143Z,0,45,energy_cube,1.0,12,45.0
32,2023-05-26T14:34:53.268786Z,0,45,energy_cube,1.0,12,45.0
33,2023-05-26T14:34:58.341336Z,0,45,energy_cube,1.0,12,45.0
34,2023-05-26T14:35:03.444569Z,0,45,energy_cube,1.0,12,45.0
35,2023-05-26T14:35:08.514886Z,0,45,energy_cube,1.0,12,45.0
36,2023-05-26T14:35:13.588032Z,0,45,energy_cube,1.0,12,45.0
37,2023-05-26T14:35:18.686454Z,0,45,energy_cube,1.0,12,45.0
38,2023-05-26T14:35:25.958107Z,0,45,energy_cube,1.0,12,45.0
39,2023-05-26T14:35:31.036965Z,0,45,energy_cube,1.0,12,45.0
40,2023-05-26T14:35:36.098739Z,0,45,energy_cube,1.0,12,45.0
41,2023-05-26T14:35:41.167987Z,0,45,energy_cube,1.0,12,45.0
42,2023-05-26T14:35:46.234480Z,0,45,energy_cube,1.0,12,45.0
43,2023-05-26T14:35:51.309088Z,0,45,energy_cube,1.0,12,45.0
44,2023-05-27T08:48:56.191234Z,0,423,energy_cube,8.34,132,50.74
45,2023-05-27T08:48:57.143389Z,0,420,energy_cube,8.24,137,51.01
46,2023-05-27T08:48:58.142672Z,3,418,energy_cube,8.19,139,51.12
47,2023-05-27T08:48:59.144090Z,3,418,energy_cube,8.17,141,51.19
48,2023-05-27T08:49:00.143965Z,3,416,energy_cube,8.13,142,51.24
49,2023-05-27T08:49:01.143597Z,3,415,energy_cube,8.09,144,51.32
50,2023-05-27T08:49:02.176831Z,3,414,energy_cube,8.07,145,51.37
51,2023-05-27T08:49:03.144689Z,3,414,energy_cube,8.06,145,51.39
52,2023-05-27T08:49:04.148177Z,3,414,energy_cube,8.06,146,51.41
53,2023-05-27T08:49:05.143181Z,3,413,energy_cube,8.05,146,51.42
54,2023-05-27T08:49:06.145253Z,3,414,energy_cube,8.05,146,51.44
55,2023-05-27T08:49:07.150747Z,3,414,energy_cube,8.05,146,51.45
56,2023-05-27T08:49:08.157542Z,3,413,energy_cube,8.04,147,51.46
57,2023-05-27T08:49:09.148790Z,3,413,energy_cube,8.04,147,51.46
58,2023-05-27T08:49:10.155162Z,3,412,energy_cube,8.02,147,51.49
59,2023-05-27T08:49:11.157647Z,3,412,energy_cube,8.02,147,51.49
60,2023-05-27T08:49:12.196024Z,3,412,energy_cube,8.02,147,51.49
61,2023-05-27T08:49:13.156994Z,3,413,energy_cube,8.02,147,51.5
62,2023-05-27T08:49:14.156708Z,3,413,energy_cube,8.02,148,51.52
63,2023-05-27T08:49:15.167128Z,3,413,energy_cube,8.02,148,51.52
64,2023-05-27T08:49:16.163682Z,3,412,energy_cube,8.01,148,51.53
65,2023-05-27T08:49:17.184759Z,3,412,energy_cube,8.01,148,51.54
66,2023-05-27T08:49:18.174397Z,3,412,energy_cube,8.0,148,51.54
67,2023-05-27T08:49:19.173919Z,3,412,energy_cube,8.0,148,51.53
68,2023-05-27T08:49:20.165182Z,3,412,energy_cube,8.0,148,51.54
